Date,"('CLOSE', 'BTC-USD')","('HIGH', 'BTC-USD')","('LOW', 'BTC-USD')","('OPEN', 'BTC-USD')","('VOLUME', 'BTC-USD')"
2021-08-16,46004.484375,47998.097656,45700.320312,47019.960938,32776876610
2021-08-17,44695.359375,47139.570312,44512.417969,45936.457031,33451362600
2021-08-18,44801.187500,45952.062500,44364.027344,44686.750000,32194123075
2021-08-19,46717.578125,46970.761719,43998.316406,44741.882812,37204312299
2021-08-20,49339.175781,49342.152344,46650.707031,46723.121094,34706867452
2021-08-21,48905.492188,49717.019531,48312.199219,49327.074219,40585205312
2021-08-22,49321.652344,49471.609375,48199.941406,48869.105469,25370975378
2021-08-23,49546.148438,50482.078125,49074.605469,49291.675781,34305053719
2021-08-24,47706.117188,49878.769531,47687.117188,49562.347656,35361168834
2021-08-25,48960.789062,49202.878906,47163.613281,47727.257812,32646349931
2021-08-26,46942.218750,49347.582031,46405.781250,49002.640625,32666549568
2021-08-27,49058.667969,49112.785156,46394.281250,46894.554688,34511076995
2021-08-28,48902.402344,49283.503906,48499.238281,49072.585938,28568103401
2021-08-29,48829.832031,49644.113281,47925.855469,48911.250000,25889650240
2021-08-30,47054.984375,48925.605469,46950.273438,48834.851562,31847007016
2021-08-31,47166.687500,48189.550781,46750.093750,47024.339844,34730363427
2021-09-01,48847.027344,49111.089844,46562.437500,47099.773438,39139399125
2021-09-02,49327.722656,50343.421875,48652.320312,48807.847656,39508070319
2021-09-03,50025.375000,50982.273438,48386.085938,49288.250000,43206179619
2021-09-04,49944.625000,50545.582031,49548.781250,50009.324219,37471327794
2021-09-05,51753.410156,51868.679688,49538.597656,49937.859375,30322676319
2021-09-06,52633.535156,52700.941406,51053.679688,51769.003906,38884105426
2021-09-07,46811.128906,52853.765625,43285.207031,52660.480469,65210059683
2021-09-08,46091.390625,47334.054688,44561.394531,46827.761719,49007762488
2021-09-09,46391.421875,47261.949219,45669.738281,45774.742188,38672657013
2021-09-10,44883.910156,47031.742188,44344.484375,46396.664062,39154666597
2021-09-11,45201.457031,45969.292969,44818.265625,44869.839844,34499835245
2021-09-12,46063.269531,46364.878906,44790.460938,45206.628906,27881980161
2021-09-13,44963.074219,46598.679688,43591.320312,46057.214844,40969943253
2021-09-14,47092.492188,47218.125000,44752.332031,44960.050781,38652152880
2021-09-15,48176.347656,48450.468750,46773.328125,47098.000000,30484496466
2021-09-16,47783.359375,48486.828125,47079.558594,48158.906250,31764293754
2021-09-17,47267.519531,48160.921875,46832.523438,47771.003906,28727713711
2021-09-18,48278.363281,48791.781250,47087.285156,47273.527344,28575630451
2021-09-19,47260.218750,48328.367188,46919.804688,48268.855469,26967722648
