Date,"('CLOSE', 'USO')","('HIGH', 'USO')","('LOW', 'USO')","('OPEN', 'USO')","('VOLUME', 'USO')"
2022-11-08,74.470001,76.489998,74.080002,76.269997,2539700
2022-11-09,71.669998,73.199997,71.580002,73.169998,2585500
2022-11-10,72.239998,72.989998,71.190002,71.660004,2020500
2022-11-11,74.379997,75.150002,73.680000,74.529999,3191900
2022-11-14,71.910004,74.620003,71.879997,73.540001,2680700
2022-11-15,73.250000,74.779999,71.599998,72.120003,3318100
2022-11-16,72.040001,72.470001,71.379997,72.110001,3359600
2022-11-17,70.139999,71.440002,69.519997,71.150002,5000100
2022-11-18,69.029999,69.120003,67.459999,67.730003,8376000
2022-11-21,69.029999,69.370003,65.370003,66.669998,12862900
2022-11-22,69.980003,70.760002,69.580002,69.919998,3715000
2022-11-23,67.410004,68.220001,66.860001,67.839996,4693000
2022-11-25,66.959999,68.489998,66.779999,68.190002,1703600
2022-11-28,66.879997,67.690002,65.000000,65.160004,7370900
2022-11-29,68.339996,69.120003,67.190002,68.510002,6290800
2022-11-30,70.230003,70.440002,69.550003,70.300003,3724000
2022-12-01,70.449997,72.139999,70.300003,71.639999,4571200
2022-12-02,69.839996,71.139999,69.349998,70.599998,3459200
2022-12-05,67.720001,71.779999,67.250000,71.559998,5259100
2022-12-06,65.230003,67.360001,64.519997,66.970001,6746200
2022-12-07,63.650002,65.889999,63.200001,65.470001,5443900
2022-12-08,62.709999,64.680000,62.459999,64.610001,8334600
2022-12-09,62.849998,63.750000,61.810001,63.070000,7184900
2022-12-12,64.410004,64.629997,63.049999,63.209999,4520100
2022-12-13,65.860001,66.470001,65.139999,65.160004,4496100
2022-12-14,67.360001,67.669998,66.080002,66.790001,7394100
2022-12-15,66.150002,67.050003,65.680000,66.900002,4665300
2022-12-16,64.900002,65.820000,64.139999,64.349998,4847100
2022-12-19,66.070000,66.500000,64.830002,65.769997,3920700
2022-12-20,66.220001,66.800003,64.820000,65.830002,2501300
2022-12-21,68.059998,68.160004,67.410004,67.610001,3292400
2022-12-22,67.699997,68.589996,66.849998,68.480003,2381800
