date,ticker,q_stop,stop_reason,regime,lambda1,lambda_int,delta_lambda,rs_value,sigma_lo,sigma_hi,sigma_center,window,alpha,adjacency,laplacian,n_nodes,n_edges,n_components,lcc_fraction,zero_degree_fraction,data_hash,prices_file_mtime,git_commit,tau,delta_ds_max,r2_exp,r2_power
2009-05-06,SPX,0.05,gap,Degenerate,0.0,0.8900024215893361,0.8900024215893361,0.975891172088675,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,18104,5,0.9841897233201581,0.015810276679841896,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.024404202793583685,0.16441837946820037,0.9995124046629472,0.9994110471396466
2009-05-07,SPX,0.05,gap,Degenerate,0.0,0.8592530145864248,0.8592530145864248,0.9767143518304463,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,18248,5,0.9841897233201581,0.015810276679841896,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.023561042431231607,0.17652150363306773,0.9994135284747849,0.9993062969373087
2009-05-08,SPX,0.05,gap,Degenerate,1.6171147582734183e-15,0.6368821847882358,0.6368821847882341,0.9826880537669941,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,17239,5,0.9841897233201581,0.015810276679841896,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.01746355022881539,0.161054021276683,0.9994337304509848,0.9993552676623756
2009-05-11,SPX,0.05,gap,Degenerate,2.4016495554820196e-15,0.6252458363565744,0.6252458363565719,0.9830016530911923,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,17723,5,0.9841897233201581,0.015810276679841896,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.01714447715663659,0.17153602170068216,0.9993748513461893,0.9992938488231847
2009-05-12,SPX,0.05,gap,Degenerate,1.6365728450991361e-15,0.7659068814791543,0.7659068814791526,0.9792175386519583,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,17895,6,0.9802371541501976,0.019762845849802372,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.02100145617945638,0.17342179801558144,0.9993418249878261,0.9992387947382262
2009-05-13,SPX,0.05,gap,Degenerate,0.0,0.76221527186473,0.76221527186473,0.9793166652883518,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,18385,6,0.9802371541501976,0.019762845849802372,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.02090023084851376,0.18155324816399565,0.9993207818020765,0.9992172564426932
2009-05-14,SPX,0.05,gap,Degenerate,0.0,0.709053958904575,0.709053958904575,0.9807452593981115,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,18251,6,0.9802371541501976,0.019762845849802372,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.01944252755380136,0.17639358711541697,0.9992878851173878,0.9991887374105394
2009-05-15,SPX,0.05,gap,Degenerate,0.0,0.7459139037597661,0.7459139037597661,0.9797545075743496,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,18449,6,0.9802371541501976,0.019762845849802372,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.02045324117365874,0.18360720411858267,0.9991906941127385,0.9990786541550398
2009-05-18,SPX,0.05,gap,Degenerate,0.0,0.7528070525021116,0.7528070525021116,0.9795693389866738,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,18499,6,0.9802371541501976,0.019762845849802372,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.020642253917572552,0.18107113594435942,0.9991493843793356,0.9990326906718255
2009-05-19,SPX,0.1,gap,Degenerate,0.0,0.6559343639282157,0.6559343639282157,0.9821748139598705,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,14756,5,0.9841897233201581,0.015810276679841896,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.01798596818197275,0.14547450247677918,0.9992395906160159,0.9991407517617134
2009-05-20,SPX,0.1,gap,Degenerate,0.0,0.6414217223873822,0.6414217223873822,0.9825657404618965,0.0203566,0.0369353,0.02742037796931326,40,0.1,abs,combinatorial,253,14374,6,0.9802371541501976,0.019762845849802372,8a2d52e06c41f7b46c4429b7b8180559,2026-02-13T14:39:10.259569,NA,0.01758802606558994,0.14481948524098243,0.9991660083763023,0.9990639895783064
