lambda1,delta_lambda,q_stop,regime,reason,rs_value,date
0.47981150110653326,43.02453593270391,0.4,Critical,power,0.3073558638021996,2008-11-11
0.5654401689815266,43.92144944302644,0.4,Critical,power,0.2998890384172698,2008-11-12
1.8934421470534029,44.929561050854595,0.4,Critical,power,0.2917127931045145,2008-11-13
2.5044444117103835,45.023971528887294,0.4,Critical,power,0.29095859213575304,2008-11-14
1.735203565159807,45.274793167651325,0.4,Critical,power,0.2889643539705536,2008-11-17
1.8291666984540482,44.45939763628542,0.4,Critical,power,0.2954979181096727,2008-11-18
1.2534066383423912,53.50213862107066,0.6,Critical,power,0.23060502897752075,2008-11-19
2.1048705095364113,51.97472524821422,0.6,Critical,power,0.2404683951529455,2008-11-20
4.0879557462509535,44.34997806154749,0.4,Critical,power,0.2963858395857574,2008-11-21
4.369729578402911,53.090189417998886,0.6,Critical,power,0.2332246655162093,2008-11-24
3.694574119180405,45.017323042004,0.4,Critical,power,0.29101163989296547,2008-11-25
0.8365676152082411,56.49013577007488,0.6,Critical,power,0.2124643914399738,2008-11-26
0.9160321266943307,56.038249993947126,0.6,Critical,power,0.21511338977559133,2008-11-28
1.9795410900833772,64.94081067001072,0.8,Critical,power,0.1685198765871222,2008-12-01
1.9386593619567143,65.22573155161218,0.8,Critical,power,0.1672084213840941,2008-12-02
2.429378925161966,64.77330258897327,0.8,Critical,power,0.16929569146001192,2008-12-03
2.0403923631876735,64.2211610665102,0.8,Critical,power,0.17187831730363626,2008-12-04
2.414271255142637,64.30373529480903,0.8,Critical,power,0.17148958782286525,2008-12-05
2.7276336629679196,63.81029020392397,0.8,Critical,power,0.17382568787449548,2008-12-08
2.6209056162703614,63.079739961928,0.8,Critical,power,0.17734286815511086,2008-12-09
2.8483119775116945,62.825426824412,0.8,Critical,power,0.17858386617103247,2008-12-10
2.5635323653381934,62.3805422736704,0.8,Critical,power,0.18077573536642053,2008-12-11
2.4280455219962356,61.929035685250994,0.8,Critical,power,0.1830277376507275,2008-12-12
2.189777852680905,62.55009521199176,0.8,Critical,power,0.17993722251506786,2008-12-15
2.0174494437111195,63.323452087455614,0.8,Critical,power,0.17616169386546957,2008-12-16
2.018003744872641,62.89824314353356,0.8,Critical,power,0.17822765225314827,2008-12-17
1.8765668394082904,62.63094238766899,0.8,Critical,power,0.179538768684687,2008-12-18
1.7172187758504422,62.052461855480054,0.8,Critical,power,0.182409347024381,2008-12-19
1.754359225869826,62.529990681843934,0.8,Critical,power,0.18003644454102255,2008-12-22
2.1629489269739803,53.47382943669188,0.6,Critical,power,0.2307841052884525,2008-12-23
2.3111153532243938,53.48624321375839,0.6,Critical,power,0.2307055619493395,2008-12-24
2.5762448840426977,53.82749186548203,0.6,Critical,power,0.22855687994141463,2008-12-26
2.7054438757366253,53.70836490635143,0.6,Critical,power,0.22930468310416544,2008-12-29
2.9235567478827877,62.207754558980255,0.8,Critical,power,0.18163426573803498,2008-12-30
2.4749235390722393,63.00413058825666,0.8,Critical,power,0.1777109234594013,2008-12-31
2.641087730494889,62.02543623210073,0.8,Critical,power,0.18254457208144959,2009-01-02
2.646369610643011,62.72607728725681,0.8,Critical,power,0.1790710279336084,2009-01-05
2.0478772561780048,52.88042119912975,0.6,Critical,power,0.23457002151499162,2009-01-06
2.358333203565721,63.634154114074875,0.8,Critical,power,0.1746672475676994,2009-01-07
